Tipo Titulo,Data Vencimento,Data Base,PU Base Manha,Juros
Tesouro Selic,2006-01-18,2005-01-11,2167.9,1.67668583216775
Tesouro Selic,2009-03-18,2005-01-11,2132.78,0.67689691113881
Tesouro Prefixado,2006-07-01,2005-01-11,784.28,18.007938585190068
Tesouro Prefixado,2005-07-01,2005-01-11,922.57,18.78461842371277
Tesouro Prefixado,2005-04-01,2005-01-11,963.66,18.41255507924777
Tesouro Prefixado,2005-10-01,2005-01-11,882.67,18.9253182600352
Tesouro Prefixado,2006-01-01,2005-01-11,848.07,18.477179877799042
Tesouro Selic,2006-01-18,2005-01-12,2169.32,1.6360284733918502
Tesouro Selic,2007-01-17,2005-01-12,2162.24,0.93555275438794
Tesouro Selic,2008-06-18,2005-01-12,2145.51,0.70492628845915
Tesouro Selic,2009-03-18,2005-01-12,2135.09,0.65934624362726
Tesouro Selic,2005-02-16,2005-01-12,2172.57,17.49633935808776
Tesouro Prefixado,2005-07-01,2005-01-12,923.13,18.75003774085706
Tesouro Prefixado,2005-10-01,2005-01-12,883.01,18.940144077460317
Tesouro Prefixado,2006-01-01,2005-01-12,848.23,18.510869427409908
Tesouro Prefixado,2006-07-01,2005-01-12,783.54,18.12056803314727
Tesouro Prefixado,2005-04-01,2005-01-12,964.26,18.32514359084105
Tesouro Selic,2005-02-16,2005-01-13,2173.98,17.48853579077773
Tesouro Selic,2006-01-18,2005-01-13,2170.74,1.59519738318683
Tesouro Selic,2007-01-17,2005-01-13,2163.66,0.91408509840757
Tesouro Selic,2008-06-18,2005-01-13,2146.93,0.6920811312342
Tesouro Selic,2009-03-18,2005-01-13,2136.51,0.64872166827081
Tesouro Prefixado,2006-07-01,2005-01-13,785.02,18.00499896755911
Tesouro Prefixado,2005-10-01,2005-01-13,883.77,18.87600547277481
Tesouro Prefixado,2005-04-01,2005-01-13,964.91,18.20708510346691
Tesouro Prefixado,2005-07-01,2005-01-13,923.83,18.67627416978456
Tesouro Prefixado,2006-01-01,2005-01-13,849.22,18.42488341669219
Tesouro Prefixado,2005-07-01,2005-01-14,924.39,18.64088278101481
Tesouro Prefixado,2006-01-01,2005-01-14,849.65,18.419571992480698
Tesouro Prefixado,2005-10-01,2005-01-14,884.37,18.84172985464425
Tesouro Prefixado,2005-04-01,2005-01-14,965.54,18.097939913279102
Tesouro Prefixado,2006-07-01,2005-01-14,785.54,17.98810620428641
Tesouro Selic,2008-06-18,2005-01-14,2148.36,0.67913155154553
Tesouro Selic,2007-01-17,2005-01-14,2165.08,0.89257839237355
Tesouro Selic,2006-01-18,2005-01-14,2172.16,1.55419120116178
Tesouro Selic,2009-03-18,2005-01-14,2137.93,0.63809162450627
Tesouro Selic,2005-02-16,2005-01-14,2175.39,17.48063722681176
Tesouro Selic,2006-01-18,2005-01-17,2173.58,1.52133893457273
Tesouro Selic,2007-01-17,2005-01-17,2166.94,0.86635811172202
Tesouro Selic,2008-06-18,2005-01-17,2149.78,0.66733760428021
Tesouro Selic,2009-03-18,2005-01-17,2139.35,0.62828373531951
Tesouro Selic,2005-02-16,2005-01-17,2176.81,18.73599498023506
Tesouro Prefixado,2005-07-01,2005-01-17,924.85,18.87918036668781
Tesouro Prefixado,2005-10-01,2005-01-17,884.71,19.01640851450945
Tesouro Prefixado,2006-01-01,2005-01-17,849.88,18.55820458539543
Tesouro Prefixado,2006-07-01,2005-01-17,785.39,18.114174250399582
Tesouro Prefixado,2005-04-01,2005-01-17,966.14,18.53303877867889
Tesouro Selic,2008-06-18,2005-01-18,2151.21,0.6543477931092
Tesouro Selic,2007-01-17,2005-01-18,2168.36,0.84471280675393
Tesouro Selic,2009-03-18,2005-01-18,2141.65,0.61077364039487
Tesouro Selic,2006-01-18,2005-01-18,2175.22,1.4726850475461601
Tesouro Selic,2005-02-16,2005-01-18,2178.22,18.77102921096511
Tesouro Prefixado,2005-04-01,2005-01-18,966.67,18.48386517122897
Tesouro Prefixado,2005-10-01,2005-01-18,884.58,19.12234548900022
Tesouro Prefixado,2006-01-01,2005-01-18,849.36,18.69243554162485
Tesouro Prefixado,2006-07-01,2005-01-18,784.37,18.2574150882125
Tesouro Prefixado,2005-07-01,2005-01-18,925.17,18.91295127753787
Tesouro Selic,2008-06-18,2005-01-19,2153.36,0.6345411668432
Tesouro Selic,2005-02-16,2005-01-19,2179.63,18.80902540741078
Tesouro Selic,2006-01-18,2005-01-19,2176.64,1.43092415135033
Tesouro Selic,2007-01-17,2005-01-19,2169.79,0.8228668214641299
Tesouro Selic,2009-03-18,2005-01-19,2143.08,0.60003638265306
Tesouro Prefixado,2005-04-01,2005-01-19,967.23,18.414893905100328
Tesouro Prefixado,2005-07-01,2005-01-19,925.6,18.91550485725941
Tesouro Prefixado,2005-10-01,2005-01-19,884.98,19.12694935088537
Tesouro Prefixado,2006-01-01,2005-01-19,849.46,18.73635129681545
Tesouro Prefixado,2006-07-01,2005-01-19,784.13,18.32002502151666
Tesouro Selic,2007-01-17,2005-01-20,2171.21,0.8011415923883901
Tesouro Selic,2008-06-18,2005-01-20,2154.79,0.6215309020445899
Tesouro Selic,2006-01-18,2005-01-20,2178.07,1.38865729609403
Tesouro Selic,2005-02-16,2005-01-20,2181.05,18.84522803472097
Tesouro Selic,2009-03-18,2005-01-20,2144.5,0.58937142842778
